APD#	0010	Started	06/11/07 12:50	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	2.371419E+1	0.000000E+0	-4.820000E-12	-3.914382E-10	-1.264356E-11	-1.264150E-11	-1.267332E-11	-1.268828E-11	0.000000E+0	-2.510581E-11	0.000000E+0	-1.271364E-11	1.270861E-11	-2.524003E-11	-2.525298E-11	0.000000E+0	0.000000E+0	-1.265217E-11	-2.529972E-11	0.000000E+0	0.000000E+0	-1.261875E-11	-1.262897E-11	-1.256866E-11	-2.520211E-11	-1.262928E-11	-1.266809E-11	-2.514006E-11	-1.264160E-11	-1.259172E-11	-1.265931E-11	-1.269397E-11	-2.522083E-11	-1.270390E-11	-1.257495E-11	-1.269358E-11
0:00:08	0	2.371457E+1	5.000000E+1	7.362100E-9	1.515823E-10	1.264356E-11	0.000000E+0	1.267332E-11	0.000000E+0	-1.270218E-11	0.000000E+0	0.000000E+0	1.271364E-11	0.000000E+0	1.266990E-11	1.267640E-11	0.000000E+0	1.269962E-11	2.520473E-11	0.000000E+0	0.000000E+0	-1.270126E-11	2.513814E-11	-1.262897E-11	-1.256866E-11	2.520211E-11	0.000000E+0	-1.266809E-11	0.000000E+0	1.264160E-11	0.000000E+0	1.265931E-11	1.269397E-11	1.266026E-11	0.000000E+0	1.257495E-11	0.000000E+0
0:00:17	0	2.385115E+1	1.000000E+2	1.472000E-8	3.918180E-10	2.518756E-11	1.264150E-11	1.267332E-11	1.268828E-11	2.530435E-11	0.000000E+0	1.266427E-11	2.532718E-11	0.000000E+0	1.266990E-11	1.267640E-11	0.000000E+0	1.269962E-11	1.265217E-11	2.529972E-11	0.000000E+0	0.000000E+0	0.000000E+0	1.262897E-11	0.000000E+0	2.520211E-11	2.515911E-11	1.266809E-11	1.261971E-11	2.518365E-11	0.000000E+0	1.265931E-11	2.528799E-11	2.522083E-11	1.270390E-11	0.000000E+0	0.000000E+0
0:00:26	0	2.381384E+1	1.500000E+2	2.309000E-8	6.060313E-10	2.518756E-11	2.518345E-11	1.267332E-11	1.268828E-11	1.270218E-11	2.510581E-11	1.266427E-11	2.532718E-11	2.531715E-11	1.266990E-11	2.525298E-11	3.788249E-11	1.269962E-11	-1.265217E-11	5.069944E-11	0.000000E+0	-1.270126E-11	2.513814E-11	1.262897E-11	1.256866E-11	3.785298E-11	1.262928E-11	1.266809E-11	0.000000E+0	5.046684E-11	2.508430E-11	2.521895E-11	2.528799E-11	2.522083E-11	1.270390E-11	1.257495E-11	2.528720E-11
0:00:35	0	2.381300E+1	2.000000E+2	3.271200E-8	9.214067E-10	2.518756E-11	3.782495E-11	5.059350E-11	2.527664E-11	2.530435E-11	3.770833E-11	0.000000E+0	2.532718E-11	5.073437E-11	1.266990E-11	1.267640E-11	2.522176E-11	2.529924E-11	0.000000E+0	7.599916E-11	2.527730E-11	2.530252E-11	3.775688E-11	2.515851E-11	1.256866E-11	2.520211E-11	5.041766E-11	2.523643E-11	2.514006E-11	6.300890E-11	2.508430E-11	2.521895E-11	2.528799E-11	3.788109E-11	1.270390E-11	2.505089E-11	2.528720E-11
0:00:44	0	2.381323E+1	2.500000E+2	4.223300E-8	1.211836E-9	5.047468E-11	2.518345E-11	2.524686E-11	2.527664E-11	2.530435E-11	3.770833E-11	3.789310E-11	1.271364E-11	5.073437E-11	6.314996E-11	3.792938E-11	2.522176E-11	6.329810E-11	2.520473E-11	6.329930E-11	2.527730E-11	3.800378E-11	3.775688E-11	2.515851E-11	3.760701E-11	6.305509E-11	3.778839E-11	5.057261E-11	2.514006E-11	6.300890E-11	2.508430E-11	5.053757E-11	5.067593E-11	2.522083E-11	1.270390E-11	3.762585E-11	3.798078E-11
0:00:53	0	2.381323E+1	3.000000E+2	5.187200E-8	1.629249E-9	7.566224E-11	3.782495E-11	5.059350E-11	5.065320E-11	3.800653E-11	3.770833E-11	5.055738E-11	2.532718E-11	7.605152E-11	6.314996E-11	3.792938E-11	6.310425E-11	6.329810E-11	5.050908E-11	8.869902E-11	3.796591E-11	5.070504E-11	6.289502E-11	2.515851E-11	3.760701E-11	7.570596E-11	3.778839E-11	3.790452E-11	5.037949E-11	7.565049E-11	2.508430E-11	6.309721E-11	5.067593E-11	5.054135E-11	5.071558E-11	3.762585E-11	5.067436E-11
0:01:02	0	2.381300E+1	3.500000E+2	6.124800E-8	2.045451E-9	1.134934E-10	5.046644E-11	6.316703E-11	2.527664E-11	5.070871E-11	5.031085E-11	5.055738E-11	3.804082E-11	1.013687E-10	8.848975E-11	5.060577E-11	6.310425E-11	6.329810E-11	6.306163E-11	1.012989E-10	6.324321E-11	6.330629E-11	5.037563E-11	3.778748E-11	6.264536E-11	8.835682E-11	5.041766E-11	6.314095E-11	5.037949E-11	1.134757E-10	6.276032E-11	6.309721E-11	6.326995E-11	7.576218E-11	5.071558E-11	5.020080E-11	6.326799E-11
