APD#	0018	Started	07/13/07 15:59	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	-1.009321E+1	0.000000E+0	-3.414000E-11	-4.673595E-10	0.000000E+0	-1.264150E-11	-1.267332E-11	0.000000E+0	-2.530435E-11	-2.510581E-11	0.000000E+0	-1.271364E-11	-2.531715E-11	-2.524003E-11	-1.267640E-11	-1.266073E-11	-1.269962E-11	-2.520473E-11	-2.529972E-11	-1.268861E-11	-1.270126E-11	0.000000E+0	-2.515851E-11	-3.760701E-11	-2.520211E-11	-1.262928E-11	-1.266809E-11	-1.261971E-11	-1.264160E-11	0.000000E+0	0.000000E+0	-2.528799E-11	-2.522083E-11	-1.270390E-11	0.000000E+0	-1.269358E-11
0:00:08	0	-1.009230E+1	5.000000E+1	2.164900E-9	-3.660466E-10	0.000000E+0	0.000000E+0	-1.267332E-11	-1.268828E-11	0.000000E+0	0.000000E+0	-2.522883E-11	1.271364E-11	0.000000E+0	0.000000E+0	-3.792938E-11	-2.522176E-11	-2.529924E-11	-1.265217E-11	-1.269986E-11	0.000000E+0	-2.530252E-11	0.000000E+0	-2.515851E-11	-2.503835E-11	0.000000E+0	0.000000E+0	-1.266809E-11	-1.261971E-11	-2.518365E-11	0.000000E+0	0.000000E+0	-2.528799E-11	-1.266026E-11	-1.270390E-11	-2.505089E-11	-1.269358E-11
0:00:17	0	-1.008797E+1	1.000000E+2	3.534500E-9	-4.421367E-10	-1.264356E-11	-2.518345E-11	-1.267332E-11	0.000000E+0	-2.530435E-11	-2.510581E-11	0.000000E+0	-1.271364E-11	-2.531715E-11	-2.524003E-11	-1.267640E-11	0.000000E+0	-1.269962E-11	0.000000E+0	-1.269986E-11	-3.796591E-11	-2.530252E-11	0.000000E+0	-1.262897E-11	-3.760701E-11	-1.265086E-11	-1.262928E-11	-1.266809E-11	-1.261971E-11	0.000000E+0	-1.259172E-11	-1.265931E-11	-1.269397E-11	0.000000E+0	0.000000E+0	-1.257495E-11	-2.528720E-11
0:00:26	0	-1.009116E+1	1.500000E+2	3.215700E-9	-3.536731E-10	0.000000E+0	0.000000E+0	0.000000E+0	-1.268828E-11	-1.270218E-11	0.000000E+0	-1.266427E-11	-2.532718E-11	-1.270861E-11	-2.524003E-11	0.000000E+0	1.266073E-11	1.269962E-11	-1.265217E-11	-3.799958E-11	0.000000E+0	-1.270126E-11	-2.513814E-11	0.000000E+0	-1.256866E-11	-2.520211E-11	-2.515911E-11	-1.266809E-11	-1.261971E-11	-2.518365E-11	0.000000E+0	0.000000E+0	-2.528799E-11	-1.266026E-11	0.000000E+0	-1.257495E-11	-2.528720E-11
0:00:35	0	-9.993110E+0	2.000000E+2	3.659600E-9	-2.400526E-10	0.000000E+0	0.000000E+0	-1.267332E-11	0.000000E+0	0.000000E+0	-1.260252E-11	0.000000E+0	0.000000E+0	-1.270861E-11	-1.266990E-11	0.000000E+0	0.000000E+0	0.000000E+0	-2.520473E-11	0.000000E+0	-1.268861E-11	0.000000E+0	0.000000E+0	0.000000E+0	-2.503835E-11	-1.265086E-11	-1.262928E-11	0.000000E+0	0.000000E+0	-2.518365E-11	-1.259172E-11	-1.265931E-11	-1.269397E-11	-1.266026E-11	-1.270390E-11	0.000000E+0	-1.269358E-11
0:00:43	0	-9.993794E+0	2.500000E+2	3.663300E-9	6.512301E-14	2.518756E-11	0.000000E+0	-1.267332E-11	1.268828E-11	1.270218E-11	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-2.522176E-11	-1.269962E-11	0.000000E+0	-1.269986E-11	0.000000E+0	1.270126E-11	0.000000E+0	-1.262897E-11	1.256866E-11	0.000000E+0	-1.262928E-11	1.266809E-11	-1.261971E-11	-1.264160E-11	0.000000E+0	1.265931E-11	0.000000E+0	0.000000E+0	1.270390E-11	0.000000E+0	0.000000E+0
0:00:52	0	-9.990982E+0	3.000000E+2	3.719800E-9	5.684715E-10	2.518756E-11	2.518345E-11	1.267332E-11	1.268828E-11	2.530435E-11	-1.260252E-11	1.266427E-11	5.075446E-11	0.000000E+0	1.266990E-11	2.525298E-11	-1.266073E-11	1.269962E-11	2.520473E-11	3.799958E-11	2.527730E-11	2.530252E-11	1.261875E-11	1.262897E-11	1.256866E-11	2.520211E-11	1.262928E-11	3.790452E-11	1.261971E-11	0.000000E+0	2.508430E-11	1.265931E-11	1.269397E-11	2.522083E-11	1.270390E-11	2.505089E-11	2.528720E-11
0:01:01	0	-9.992426E+0	3.500000E+2	5.000300E-9	1.931304E-9	6.301868E-11	7.564989E-11	5.059350E-11	6.324156E-11	5.070871E-11	5.031085E-11	6.312193E-11	5.075446E-11	5.073437E-11	5.057982E-11	5.060577E-11	6.310425E-11	6.329810E-11	5.050908E-11	6.329930E-11	6.324321E-11	6.330629E-11	5.037563E-11	6.294599E-11	7.521401E-11	5.050384E-11	6.294749E-11	7.580904E-11	7.551954E-11	6.300890E-11	6.276032E-11	6.309721E-11	5.067593E-11	6.310192E-11	6.331946E-11	6.267674E-11	6.326799E-11
