APD#	0002	Started	06/21/07 22:21	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	-1.509682E+1	0.000000E+0	1.853000E-11	-3.661701E-10	1.264356E-11	-2.518345E-11	-1.267332E-11	-1.268828E-11	0.000000E+0	0.000000E+0	-1.266427E-11	0.000000E+0	0.000000E+0	-2.524003E-11	-2.525298E-11	-3.788249E-11	-1.269962E-11	-2.520473E-11	0.000000E+0	-1.268861E-11	0.000000E+0	-2.513814E-11	-1.262897E-11	-2.503835E-11	-1.265086E-11	-1.262928E-11	0.000000E+0	-1.261971E-11	-1.264160E-11	0.000000E+0	0.000000E+0	-1.269397E-11	0.000000E+0	-2.530778E-11	0.000000E+0	-2.528720E-11
0:00:08	0	-1.509879E+1	5.000000E+1	1.964000E-10	-4.296921E-10	2.518756E-11	-1.264150E-11	-2.524686E-11	-2.527664E-11	-1.270218E-11	-1.260252E-11	-1.266427E-11	-1.271364E-11	-2.531715E-11	-1.266990E-11	-3.792938E-11	1.266073E-11	-1.269962E-11	-1.265217E-11	-5.069944E-11	-1.268861E-11	0.000000E+0	-1.261875E-11	0.000000E+0	-2.503835E-11	-1.265086E-11	-1.262928E-11	0.000000E+0	-2.514006E-11	-1.264160E-11	0.000000E+0	-2.521895E-11	-1.269397E-11	-1.266026E-11	0.000000E+0	-2.505089E-11	-1.269358E-11
0:00:17	0	-1.509841E+1	1.000000E+2	2.447200E-10	-5.058639E-10	0.000000E+0	-1.264150E-11	-1.267332E-11	-1.268828E-11	-1.270218E-11	-1.260252E-11	-3.789310E-11	-1.271364E-11	-3.802576E-11	0.000000E+0	-2.525298E-11	0.000000E+0	-2.529924E-11	-1.265217E-11	-5.069944E-11	-1.268861E-11	-1.270126E-11	-1.261875E-11	0.000000E+0	-1.256866E-11	-2.520211E-11	-1.262928E-11	0.000000E+0	-3.775977E-11	0.000000E+0	-1.259172E-11	-1.265931E-11	-3.798196E-11	-2.522083E-11	-1.270390E-11	0.000000E+0	-1.269358E-11
0:00:26	0	-1.509879E+1	1.500000E+2	2.988700E-10	-3.917803E-10	1.264356E-11	-1.264150E-11	-1.267332E-11	-1.268828E-11	-2.530435E-11	-1.260252E-11	-2.522883E-11	-1.271364E-11	-2.531715E-11	-1.266990E-11	0.000000E+0	-2.522176E-11	-2.529924E-11	-1.265217E-11	0.000000E+0	-1.268861E-11	-2.530252E-11	-2.513814E-11	0.000000E+0	-1.256866E-11	-1.265086E-11	0.000000E+0	-1.266809E-11	0.000000E+0	0.000000E+0	-1.259172E-11	0.000000E+0	-1.269397E-11	-1.266026E-11	-1.270390E-11	-2.505089E-11	-1.269358E-11
0:00:35	0	-1.509826E+1	2.000000E+2	3.026800E-10	-3.915388E-10	1.264356E-11	-1.264150E-11	0.000000E+0	-1.268828E-11	-1.270218E-11	-1.260252E-11	-1.266427E-11	-1.271364E-11	-1.270861E-11	-2.524003E-11	-1.267640E-11	-2.522176E-11	-1.269962E-11	-2.520473E-11	0.000000E+0	-1.268861E-11	0.000000E+0	0.000000E+0	-2.515851E-11	-1.256866E-11	-2.520211E-11	-1.262928E-11	0.000000E+0	-1.261971E-11	-1.264160E-11	-1.259172E-11	-1.265931E-11	-1.269397E-11	-2.522083E-11	0.000000E+0	-2.505089E-11	-1.269358E-11
0:00:43	0	-1.499900E+1	2.500000E+2	3.418300E-10	-2.778940E-10	1.264356E-11	-1.264150E-11	-2.524686E-11	-1.268828E-11	0.000000E+0	0.000000E+0	-1.266427E-11	1.271364E-11	-1.270861E-11	-1.266990E-11	-2.525298E-11	-1.266073E-11	0.000000E+0	-1.265217E-11	0.000000E+0	0.000000E+0	-1.270126E-11	1.261875E-11	-2.515851E-11	-1.256866E-11	0.000000E+0	0.000000E+0	-1.266809E-11	1.261971E-11	0.000000E+0	-1.259172E-11	-1.265931E-11	-1.269397E-11	-2.522083E-11	-1.270390E-11	-2.505089E-11	-2.528720E-11
0:00:52	0	-1.499953E+1	3.000000E+2	3.910100E-10	-4.673240E-10	1.264356E-11	-2.518345E-11	-2.524686E-11	-1.268828E-11	-2.530435E-11	0.000000E+0	-1.266427E-11	-2.532718E-11	-1.270861E-11	-1.266990E-11	-1.267640E-11	0.000000E+0	-2.529924E-11	-2.520473E-11	-1.269986E-11	0.000000E+0	-2.530252E-11	-1.261875E-11	-1.262897E-11	-2.503835E-11	-2.520211E-11	-1.262928E-11	-1.266809E-11	-1.261971E-11	-1.264160E-11	-2.508430E-11	-2.521895E-11	-2.528799E-11	-1.266026E-11	0.000000E+0	0.000000E+0	-1.269358E-11
0:01:01	0	-1.499869E+1	3.500000E+2	4.398400E-10	-3.788511E-10	0.000000E+0	-2.518345E-11	0.000000E+0	-1.268828E-11	-1.270218E-11	-2.510581E-11	0.000000E+0	-3.804082E-11	-1.270861E-11	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-3.785690E-11	-1.269986E-11	-1.268861E-11	0.000000E+0	-2.513814E-11	0.000000E+0	-1.256866E-11	-1.265086E-11	-1.262928E-11	0.000000E+0	-2.514006E-11	0.000000E+0	-1.259172E-11	0.000000E+0	-2.528799E-11	0.000000E+0	-2.530778E-11	-1.257495E-11	-2.528720E-11
