APD#	0019	Started	07/20/07 13:41	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	-9.990450E+0	0.000000E+0	2.061000E-11	-4.043258E-10	-1.264356E-11	0.000000E+0	-2.524686E-11	0.000000E+0	0.000000E+0	-2.510581E-11	-2.522883E-11	-3.804082E-11	0.000000E+0	-1.266990E-11	0.000000E+0	-1.266073E-11	0.000000E+0	-2.520473E-11	-1.269986E-11	-1.268861E-11	0.000000E+0	-1.261875E-11	-1.262897E-11	-1.256866E-11	-1.265086E-11	-1.262928E-11	-1.266809E-11	-2.514006E-11	-1.264160E-11	0.000000E+0	-1.265931E-11	-1.269397E-11	-1.266026E-11	-2.530778E-11	-1.257495E-11	-1.269358E-11
0:00:08	0	-1.009146E+1	5.000000E+1	2.373200E-9	-3.287032E-10	0.000000E+0	-1.264150E-11	-1.267332E-11	0.000000E+0	-3.800653E-11	0.000000E+0	-1.266427E-11	-2.532718E-11	-2.531715E-11	0.000000E+0	0.000000E+0	-1.266073E-11	-2.529924E-11	-2.520473E-11	0.000000E+0	0.000000E+0	-1.270126E-11	-1.261875E-11	-2.515851E-11	0.000000E+0	-1.265086E-11	-1.262928E-11	0.000000E+0	0.000000E+0	-1.264160E-11	0.000000E+0	-1.265931E-11	1.269397E-11	-1.266026E-11	-2.530778E-11	-1.257495E-11	0.000000E+0
0:00:17	0	-1.009199E+1	1.000000E+2	4.023200E-9	-3.538647E-10	0.000000E+0	0.000000E+0	-1.267332E-11	-1.268828E-11	-2.530435E-11	-1.260252E-11	0.000000E+0	1.271364E-11	-1.270861E-11	-2.524003E-11	-1.267640E-11	-1.266073E-11	-2.529924E-11	-3.785690E-11	0.000000E+0	0.000000E+0	-2.530252E-11	-1.261875E-11	-1.262897E-11	0.000000E+0	-2.520211E-11	-1.262928E-11	-1.266809E-11	0.000000E+0	-1.264160E-11	-2.508430E-11	1.265931E-11	-1.269397E-11	-1.266026E-11	-1.270390E-11	0.000000E+0	-1.269358E-11
0:00:26	0	-1.007679E+1	1.500000E+2	4.259500E-9	-1.640905E-10	1.264356E-11	0.000000E+0	-1.267332E-11	0.000000E+0	-1.270218E-11	0.000000E+0	-1.266427E-11	1.271364E-11	0.000000E+0	-2.524003E-11	-1.267640E-11	1.266073E-11	1.269962E-11	-1.265217E-11	-2.529972E-11	0.000000E+0	-1.270126E-11	0.000000E+0	-1.262897E-11	0.000000E+0	-1.265086E-11	0.000000E+0	-2.523643E-11	0.000000E+0	1.264160E-11	0.000000E+0	-1.265931E-11	1.269397E-11	0.000000E+0	-2.530778E-11	-2.505089E-11	0.000000E+0
0:00:35	0	-9.992350E+0	2.000000E+2	4.280100E-9	-1.513612E-10	1.264356E-11	0.000000E+0	0.000000E+0	0.000000E+0	-2.530435E-11	-2.510581E-11	0.000000E+0	0.000000E+0	-2.531715E-11	0.000000E+0	0.000000E+0	0.000000E+0	1.269962E-11	-1.265217E-11	-2.529972E-11	-1.268861E-11	1.270126E-11	1.261875E-11	1.262897E-11	-2.503835E-11	-1.265086E-11	0.000000E+0	-1.266809E-11	0.000000E+0	0.000000E+0	0.000000E+0	-1.265931E-11	-1.269397E-11	0.000000E+0	0.000000E+0	-1.257495E-11	0.000000E+0
0:00:43	0	-9.995390E+0	2.500000E+2	4.250200E-9	1.263316E-11	1.264356E-11	1.264150E-11	-1.267332E-11	1.268828E-11	0.000000E+0	-1.260252E-11	-1.266427E-11	0.000000E+0	-1.270861E-11	1.266990E-11	2.525298E-11	1.266073E-11	0.000000E+0	-1.265217E-11	1.269986E-11	0.000000E+0	0.000000E+0	1.261875E-11	0.000000E+0	-1.256866E-11	0.000000E+0	1.262928E-11	0.000000E+0	1.261971E-11	0.000000E+0	0.000000E+0	-1.265931E-11	-1.269397E-11	0.000000E+0	0.000000E+0	-1.257495E-11	-1.269358E-11
0:00:52	0	-9.992122E+0	3.000000E+2	4.453900E-9	2.023809E-10	1.264356E-11	1.264150E-11	1.267332E-11	2.527664E-11	1.270218E-11	0.000000E+0	1.266427E-11	1.271364E-11	0.000000E+0	1.266990E-11	0.000000E+0	0.000000E+0	1.269962E-11	2.520473E-11	3.799958E-11	2.527730E-11	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.265086E-11	-1.262928E-11	0.000000E+0	0.000000E+0	1.264160E-11	0.000000E+0	-1.265931E-11	0.000000E+0	-1.266026E-11	-1.270390E-11	1.257495E-11	0.000000E+0
0:01:01	0	-9.994022E+0	3.500000E+2	5.076000E-9	1.250049E-9	5.047468E-11	5.046644E-11	2.524686E-11	3.796492E-11	3.800653E-11	6.281413E-11	3.789310E-11	8.879528E-11	2.531715E-11	3.790993E-11	3.792938E-11	3.788249E-11	5.069848E-11	5.050908E-11	3.799958E-11	5.065451E-11	5.070504E-11	2.513814E-11	2.515851E-11	3.760701E-11	3.785298E-11	2.515911E-11	3.790452E-11	2.514006E-11	3.782525E-11	5.026775E-11	2.521895E-11	3.798196E-11	3.788109E-11	2.530778E-11	2.505089E-11	2.528720E-11
