APD#	0016	Started	07/23/07 15:06	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	-1.509598E+1	0.000000E+0	3.710000E-11	-4.801178E-10	-1.264356E-11	0.000000E+0	-1.267332E-11	-1.268828E-11	0.000000E+0	-1.260252E-11	-2.522883E-11	-2.532718E-11	-1.270861E-11	-1.266990E-11	0.000000E+0	0.000000E+0	-1.269962E-11	-2.520473E-11	-1.269986E-11	0.000000E+0	-1.270126E-11	-2.513814E-11	0.000000E+0	-1.256866E-11	-1.265086E-11	-1.262928E-11	-2.523643E-11	-1.261971E-11	-1.264160E-11	0.000000E+0	-2.521895E-11	-2.528799E-11	-1.266026E-11	-3.801168E-11	-3.762585E-11	-3.798078E-11
0:00:08	0	-1.509674E+1	5.000000E+1	2.560800E-9	-2.909271E-10	2.518756E-11	0.000000E+0	-2.524686E-11	0.000000E+0	-1.270218E-11	-1.260252E-11	-1.266427E-11	0.000000E+0	-1.270861E-11	-1.266990E-11	0.000000E+0	-2.522176E-11	-1.269962E-11	0.000000E+0	-1.269986E-11	-1.268861E-11	0.000000E+0	-1.261875E-11	-2.515851E-11	-1.256866E-11	-1.265086E-11	0.000000E+0	-1.266809E-11	0.000000E+0	0.000000E+0	0.000000E+0	-2.521895E-11	-1.269397E-11	-1.266026E-11	-1.270390E-11	-1.257495E-11	-1.269358E-11
0:00:17	0	-1.509704E+1	1.000000E+2	4.288100E-9	-3.409810E-10	0.000000E+0	0.000000E+0	0.000000E+0	-1.268828E-11	0.000000E+0	0.000000E+0	0.000000E+0	-1.271364E-11	-2.531715E-11	-1.266990E-11	1.267640E-11	-2.522176E-11	-1.269962E-11	-1.265217E-11	0.000000E+0	-1.268861E-11	-1.270126E-11	-2.513814E-11	-2.515851E-11	0.000000E+0	-1.265086E-11	-1.262928E-11	-2.523643E-11	1.261971E-11	-1.264160E-11	-1.259172E-11	-2.521895E-11	-1.269397E-11	-2.522083E-11	0.000000E+0	-2.505089E-11	-1.269358E-11
0:00:26	0	-1.509879E+1	1.500000E+2	4.819700E-9	-1.903343E-10	0.000000E+0	-1.264150E-11	0.000000E+0	-1.268828E-11	-1.270218E-11	0.000000E+0	0.000000E+0	-1.271364E-11	-1.270861E-11	-1.266990E-11	1.267640E-11	0.000000E+0	-2.529924E-11	-1.265217E-11	-3.799958E-11	-1.268861E-11	0.000000E+0	-1.261875E-11	0.000000E+0	0.000000E+0	-1.265086E-11	1.262928E-11	-1.266809E-11	3.775977E-11	-1.264160E-11	0.000000E+0	-1.265931E-11	0.000000E+0	0.000000E+0	-1.270390E-11	0.000000E+0	-1.269358E-11
0:00:35	0	-1.499786E+1	2.000000E+2	5.009500E-9	-2.402518E-10	1.264356E-11	0.000000E+0	-2.524686E-11	-1.268828E-11	0.000000E+0	-1.260252E-11	-1.266427E-11	-1.271364E-11	-2.531715E-11	-1.266990E-11	-1.267640E-11	0.000000E+0	-1.269962E-11	0.000000E+0	0.000000E+0	-1.268861E-11	0.000000E+0	0.000000E+0	0.000000E+0	-2.503835E-11	-1.265086E-11	-1.262928E-11	-1.266809E-11	3.775977E-11	1.264160E-11	0.000000E+0	-1.265931E-11	0.000000E+0	-1.266026E-11	-1.270390E-11	-3.762585E-11	-1.269358E-11
0:00:43	0	-1.500113E+1	2.500000E+2	5.090400E-9	1.386712E-10	0.000000E+0	1.264150E-11	-1.267332E-11	1.268828E-11	0.000000E+0	-1.260252E-11	1.266427E-11	0.000000E+0	0.000000E+0	-1.266990E-11	1.267640E-11	0.000000E+0	-1.269962E-11	-1.265217E-11	3.799958E-11	-1.268861E-11	0.000000E+0	-1.261875E-11	0.000000E+0	0.000000E+0	1.265086E-11	0.000000E+0	0.000000E+0	1.006596E-10	0.000000E+0	1.259172E-11	0.000000E+0	0.000000E+0	0.000000E+0	1.270390E-11	0.000000E+0	0.000000E+0
0:00:52	0	-1.499687E+1	3.000000E+2	5.465000E-9	6.694003E-10	2.518756E-11	3.782495E-11	1.267332E-11	2.527664E-11	2.530435E-11	1.260252E-11	1.266427E-11	3.804082E-11	1.270861E-11	1.266990E-11	1.267640E-11	1.266073E-11	2.529924E-11	0.000000E+0	3.799958E-11	1.268861E-11	1.270126E-11	1.261875E-11	0.000000E+0	0.000000E+0	2.520211E-11	1.262928E-11	0.000000E+0	1.510391E-10	1.264160E-11	3.767602E-11	0.000000E+0	3.798196E-11	1.266026E-11	1.270390E-11	1.257495E-11	1.269358E-11
0:01:01	0	-1.509195E+1	3.500000E+2	6.715000E-9	2.170775E-9	7.566224E-11	6.300840E-11	7.584036E-11	5.065320E-11	6.331088E-11	6.281413E-11	7.578621E-11	7.608164E-11	5.073437E-11	5.057982E-11	5.060577E-11	6.310425E-11	5.069848E-11	6.306163E-11	6.329930E-11	6.324321E-11	6.330629E-11	6.289502E-11	8.820394E-11	6.264536E-11	6.305509E-11	6.294749E-11	5.057261E-11	2.643184E-10	5.046684E-11	7.535205E-11	6.309721E-11	6.326995E-11	5.054135E-11	6.331946E-11	3.762585E-11	5.067436E-11
