APD#	0010	Started	06/11/07 13:10	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
0:00:00	0	2.542047E+1	0.000000E+0	3.884000E-11	-2.654560E-10	0.000000E+0	0.000000E+0	-1.267332E-11	-1.268828E-11	0.000000E+0	0.000000E+0	-1.266427E-11	-1.271364E-11	0.000000E+0	-1.266990E-11	-1.267640E-11	0.000000E+0	0.000000E+0	-1.265217E-11	-1.269986E-11	1.268861E-11	-1.270126E-11	-2.513814E-11	-1.262897E-11	-1.256866E-11	-1.265086E-11	-2.515911E-11	-1.266809E-11	-1.261971E-11	1.264160E-11	-1.259172E-11	-1.265931E-11	-1.269397E-11	0.000000E+0	0.000000E+0	-1.257495E-11	-1.269358E-11
0:00:08	0	2.531900E+1	5.000000E+1	2.085800E-9	3.535607E-10	1.264356E-11	1.264150E-11	2.524686E-11	0.000000E+0	0.000000E+0	1.260252E-11	1.266427E-11	0.000000E+0	1.270861E-11	2.524003E-11	0.000000E+0	0.000000E+0	2.529924E-11	0.000000E+0	1.269986E-11	1.268861E-11	1.270126E-11	2.513814E-11	1.262897E-11	1.256866E-11	3.785298E-11	0.000000E+0	1.266809E-11	1.261971E-11	-1.264160E-11	0.000000E+0	3.787826E-11	0.000000E+0	1.266026E-11	0.000000E+0	2.505089E-11	0.000000E+0
0:00:17	0	2.521738E+1	1.000000E+2	8.574700E-9	6.822890E-10	2.518756E-11	0.000000E+0	0.000000E+0	2.527664E-11	2.530435E-11	0.000000E+0	1.266427E-11	1.271364E-11	1.270861E-11	2.524003E-11	1.267640E-11	1.266073E-11	3.799886E-11	1.265217E-11	1.269986E-11	2.527730E-11	1.140113E-10	1.261875E-11	2.515851E-11	2.503835E-11	5.050384E-11	1.262928E-11	2.523643E-11	2.514006E-11	1.264160E-11	0.000000E+0	5.053757E-11	1.269397E-11	1.266026E-11	2.530778E-11	2.505089E-11	0.000000E+0
0:00:26	0	2.511644E+1	1.500000E+2	1.514200E-8	8.205614E-10	3.783112E-11	3.782495E-11	1.267332E-11	1.268828E-11	2.530435E-11	2.510581E-11	1.266427E-11	3.804082E-11	3.802576E-11	2.524003E-11	2.525298E-11	1.266073E-11	3.799886E-11	2.520473E-11	2.529972E-11	1.268861E-11	1.270126E-11	5.037563E-11	1.262897E-11	1.256866E-11	6.305509E-11	1.262928E-11	2.523643E-11	2.514006E-11	2.518365E-11	2.508430E-11	3.787826E-11	2.528799E-11	1.266026E-11	2.530778E-11	3.762585E-11	1.269358E-11
0:00:35	0	2.511728E+1	2.000000E+2	2.216900E-8	1.110977E-9	6.301868E-11	3.782495E-11	3.792018E-11	2.527664E-11	2.530435E-11	2.510581E-11	2.522883E-11	2.532718E-11	5.073437E-11	5.057982E-11	1.267640E-11	3.788249E-11	5.069848E-11	1.265217E-11	3.799958E-11	2.527730E-11	3.800378E-11	3.775688E-11	3.778748E-11	2.503835E-11	5.050384E-11	5.041766E-11	3.790452E-11	2.514006E-11	3.782525E-11	2.508430E-11	5.053757E-11	5.067593E-11	3.788109E-11	0.000000E+0	3.762585E-11	2.528720E-11
0:00:43	0	2.501740E+1	2.500000E+2	2.875100E-8	1.389075E-9	6.301868E-11	5.046644E-11	5.059350E-11	3.796492E-11	2.530435E-11	2.510581E-11	5.055738E-11	3.804082E-11	6.334291E-11	7.581985E-11	3.792938E-11	3.788249E-11	5.069848E-11	2.520473E-11	6.329930E-11	2.527730E-11	3.800378E-11	5.037563E-11	3.778748E-11	2.503835E-11	6.305509E-11	5.041766E-11	3.790452E-11	5.037949E-11	3.782525E-11	2.508430E-11	6.309721E-11	5.067593E-11	3.788109E-11	3.801168E-11	2.505089E-11	3.798078E-11
0:00:52	0	2.491502E+1	3.000000E+2	3.619500E-8	1.868849E-9	7.566224E-11	6.300840E-11	6.316703E-11	5.065320E-11	5.070871E-11	6.281413E-11	5.055738E-11	5.075446E-11	7.605152E-11	7.581985E-11	5.060577E-11	5.054321E-11	6.329810E-11	5.050908E-11	6.329930E-11	6.324321E-11	5.070504E-11	6.289502E-11	6.294599E-11	3.760701E-11	7.570596E-11	5.041766E-11	5.057261E-11	6.289983E-11	6.300890E-11	3.767602E-11	7.575652E-11	6.326995E-11	6.310192E-11	5.071558E-11	5.020080E-11	5.067436E-11
0:01:01	0	2.491715E+1	3.500000E+2	4.928000E-8	2.348425E-9	1.134934E-10	5.046644E-11	7.584036E-11	5.065320E-11	7.601306E-11	7.541665E-11	6.312193E-11	7.608164E-11	8.876013E-11	1.137298E-10	6.318235E-11	6.310425E-11	8.869734E-11	6.306163E-11	6.329930E-11	6.324321E-11	5.070504E-11	8.813251E-11	7.557497E-11	6.264536E-11	7.570596E-11	6.294749E-11	8.847713E-11	8.813926E-11	7.565049E-11	5.026775E-11	8.841583E-11	7.596392E-11	6.310192E-11	6.331946E-11	7.525170E-11	7.596156E-11
